ID, Type, Car, Pros, Cons
444320, suv, 2020 Volvo XC40 T4 Momentum, Sporty+ fun to drive+ great looks+ interface, Weak AC
445557, suv, 2020 Subaru Crosstrek Base Style, Handling+ Comfort+ Quiet interior+ Mileage, Rear Storage
446225, suv, 2020 Honda HR‑V EX-L, Fun to Drive, Navigation system.
444083, suv, 2020 Hyundai Kona SEL Plus, Value for money. Top safety pick. Blast to drive, Bland but functional interior. Rear leg room.
445987, suv, 2020 Hyundai Kona Electric Limited, Value for money. Top safety pick. Blast to drive, Bland but functional interior. Rear leg room.
446085, suv, 2020 Toyota C‑HR XLE, This car is perfect for me., No cons for me
445132, suv, 2020 Buick Encore Essence, Dim headlights, 
446093, suv, 2020 Ford EcoSport SE, Great price+ decent performance+ an quality fit an, No CD Player+ No Spare Tire+ Marginal Fuel Economy
444529, suv, 2020 Chevrolet Trax LS, Fun to drive., Radio dial on touchscreen is tricky.
445549, suv, 2020 Mitsubishi Outlander Sport SE, The warranty+ easy to drive & reliable, needs lighted door panels and lights on the floor
446103, suv, 2020 Honda CR‑V EX, Comfortable and Economical, Engine problem needs solved
445547, suv, 2020 Toyota RAV4 XLE Premium, Comparatively good gas mileage, Fuel tank will not fill Misleading fuel gauge
446091, suv, 2020 Toyota RAV4 Hybrid XSE, Comparatively good gas mileage, Fuel tank will not fill Misleading fuel gauge
446004, suv, 2020 Audi Q5 45 TFSI Prestige, Riding on air+ comfortable seats+ fun to drive, Wife won’t let me drive it
446295, suv, 2020 MAZDA CX‑5 Grand Touring, Price+ Fun to Drive+ Comfort, 
444742, suv, 2020 Subaru Forester Sport, Luxury feel and comfort. Quality. Cute., Auto stop at every intersection+ but not unique
443755, suv, 2020 Acura RDX FWD w/Advance Pkg, Engine is potent+ interior finish is nice, Infotainment is really buggy
445006, suv, 2020 Mercedes-Benz GLC GLC 300 4MATIC, Nice looking vehicle., My expectation for a Mercedes is greater
444444, suv, 2020 Jeep Wrangler Sport, Everything a man could want in a car like Ruby, none
443000, suv, 2020 Kia Sportage SX Turbo, Fun to drive+ love its style, Gas milage
444332, suv, 2020 Mercedes-Benz GLE GLE 350, Technology, Bad Mercedes QC and not comfortable seat
444862, suv, 2020 Acura MDX Base Style, Value+ Semi-sporty+ good looking+ comfrotable+ saf, slow transmission
444180, suv, 2020 Volvo XC90 T6 Inscription, comfort + safety + quaity, 4 cylinder engine struggles some times.
445142, suv, 2020 Buick Enclave Avenir, N/A, N/A
444991, suv, 2020 Lexus RX RX 350L, Comfort+ Ride quality+ silent+ Eco mode+ Reliable, Lack acceleration+ handling+costly leather upgrade
441535, suv, 2020 Lincoln Aviator Reserve, There's a long list, Haven't found any yet
445144, suv, 2020 Land Rover Discovery HSE Luxury, the ride and luxury feel and 4 wheel capability, None at this time
445472, suv, 2020 Lexus GX GX 460, Very quiet ride+ smooth V8+ refined interior, A bit thirsty+ stately acceleration......
446243, suv, 2020 Toyota Land Cruiser Base Style, Value and reliability, Fill 'er up!
438507, suv, 2019 BMW X5 xDrive40i, Comfort+ Power+ Fun+ Quality+ Fit and Finish, Paying for Apple Car Play; Door sill
446091, suv, 2020 Toyota RAV4 Hybrid XSE, Comparatively good gas mileage, Fuel tank will not fill Misleading fuel gauge
445568, suv, 2020 Subaru Crosstrek Hybrid, Handling+ Comfort+ Quiet interior+ Mileage, Rear Storage
444188, suv, 2020 Volvo XC90 T8 Momentum, comfort + safety + quaity, 4 cylinder engine struggles some times.
445576, suv, 2020 Porsche Cayenne E-Hybrid, Fun to drive+ Reputation+ Navigation+ Suspension, Expensive
